Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411173184.4,392737430.2,463128491.6,527932960.9,531843575.4,477620111.7,455134078.2,522438547.5,590374301.7,641530726.3,782592178.8,852547486,850061452.5,912697765.4,757000000,693955307.3,723212290.5,615162569.8,649933519.6,645006145.3,638178212.3,613883240.2,635530726.3,733920670.4,761964804.5,603283352,620125139.7,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44503441822,50247942463,48679571289,47989221163,48305668941,46501831115,50914957854,44836751643,46844641688,64774931755,86298631914,99059080691,1.17E+11,1.41E+11,1.67E+11,1.68E+11,1.84E+11,2.17E+11,2.20E+11,2.28E+11,2.36E+11,2.14E+11,1.83E+11,2.13E+11,2.12E+11,2.19E+11,1.89E+11,2.16E+11,2.34E+11
Afghanistan,86666711.11,91111155.56,104444506.7,106666724.4,111111155.6,113333340,117777771.1,86666666.67,88888888.89,91111111.11,95555562.22,99999993.33,104444451.1,126666660,188888882.2,231111111.1,348888882.2,366666660,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,1.67E+11,1.41E+11,86418700231,53255614389,44590663320,42008102116,38117688361,33589977390,33463383575,41046227415,36159707140,32683190925,24086396500,25699547791,29543634704,33529758497,36355209130,39375750344,38299645212,37952965981,38481643064,42551372957,51960977677,61659069112,74984185853,98701491997,99687626722,1.19E+11,1.13E+11,1.20E+11,1.28E+11,1.38E+11,1.58E+11,1.76E+11,1.50E+11,1.37E+11,1.27E+11,1.62E+11,1.98E+11,1.96E+11,2.40E+11,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,2783907340,2724898211,4661062180,5424166531,7276096317,10187915840,12205182667,16793426886,27273497536,30106141366,23037075147,28917904926,33333994540,34875136359,37742850983,29831173216,13563944772,16643340218,13901148420,12276206494,10491940247,14147466272,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,611538478.6,643706276.1,671875012.5,612875012.5,614499962.5,740750012.5,615888125,83600694.44,36891479.03,162105372.7,355435475.7,509144791.4,577976422.4,376257327.9,502639653.3,633902317.2,1071819204,1372290895,1533305462,1902121187,2456928761,2968774752,3175678037,3679616498,4608745034,4162218001,3614892819,4049449482,3490030396,3584049936,3396286215,2939977136,2991848400,3261771860,3623932123,3544359938,3482126461,4448984737,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,67030060573,80286768744,98807600979,1.05E+11,1.31E+11,1.36E+11,1.42E+11,1.26E+11,1.25E+11,1.08E+11,99999991082,94354486113,98191599329,82764192603,1.96E+11,1.01E+11,1.06E+11,1.10E+11,1.06E+11,1.16E+11,1.20E+11,1.16E+11,1.32E+11,1.45E+11,1.51E+11,1.56E+11,1.53E+11,1.76E+11,2.09E+11,2.56E+11,3.21E+11,4.22E+11,5.54E+11,5.11E+11,5.59E+11,6.18E+11,6.57E+11,6.92E+11,7.33E+11,7.12E+11,7.03E+11,7.13E+11,7.52E+11,7.70E+11,6.52E+11,6.87E+11,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23247802287,24758811082,27517552893,29533120000,36424851681,42802745378,64992757985,79178107856,80206027366,78593555317,81219427148,81978431096,75126823336,89369188618,91822890157,92902151858,97541306140,99269102573,93724842260,79632485146,,
Argentina,,,5313345058,3338843016,5498448879,6357058746,5881428621,5146060702,5734285805,7498571826,7719211097,8027999891,8298250321,10978444356,16124666971,15438486959,15724100558,17569000351,24755890056,17906415044,19438878223,17852632105,18341049876,21718898274,23341029090,15504919335,18487184064,21277822815,23652389170,11888871206,19785101598,27769271211,38211595952,46609970270,51399500500,47736933000,53406319800,60990966300,62691747400,50645509000,49830828800,41986461000,10606870818,18049680786,28899558550,37537987445,43442829424,57791082382,70766944271,53453089199,75005496431,97540934332,90097938094,95532250251,90857938990,1.02E+11,98478203613,1.17E+11,87192974490,63626077096,54479155214,85139176401,1.10E+11
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064047261,823376623.4,20763233.48,118596041.6,367483703.3,305535851.7,336887740.3,381439054.2,429617443,383285986.6,419059322.4,485221417.5,604023894.7,795744250.7,1041601837,1752674435,2695864107,4083144027,5591113028,3558198109,3594357229,3237544545,2620949522,2463681304,2470857427,2187762816,1899940089,2123558497,2790546243,2370918200,2485842493,2868079878,3782975417
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000000,128518518.5,140370370.4,160370370.4,176666666.7,201111111.1,221481481.5,239629629.6,164074074.1,180370370.4,198518518.5,216296296.3,275185185.2,418888888.9,490370370.4,512592592.6,462962963,322962963,235925925.9,265555555.6,280370370.4,311980222.2,319849629.6,390500851.9,478079407.4,593774629.6,706740259.3,789994259.3,,
Australia,5874400941,6522881044,5662720907,6639361063,7304641170,8711361395,8906241426,10021761605,10791201728,12337921976,13629282182,14512962324,15834112150,18120435618,27195283714,26083572306,27763571031,29755677908,30591169334,37570146541,40626183844,50727969349,57890323293,44851652667,51535409170,50583311892,51966284275,51833642139,66049512214,88792655371,90133030656,78950125740,72741045799,73669898820,78349360083,95700920701,99487038766,1.08E+11,1.02E+11,1.02E+11,1.09E+11,88805866690,96601285816,1.21E+11,1.66E+11,1.91E+11,2.06E+11,2.35E+11,3.02E+11,2.54E+11,3.08E+11,3.70E+11,4.29E+11,4.40E+11,3.92E+11,3.55E+11,3.07E+11,3.20E+11,3.51E+11,3.24E+11,2.95E+11,3.53E+11,3.90E+11
